Time,Score (UMD-BS),Steal,Turnover,Good Layup,Missed Layup,Foul,Missed 3 Ptr,Rebound DEF,Rebound OFF,Missed Jumper,Assist,Good Tip-in,Missed FT Shot,Good FT Shot,SUB-IN,SUB-OUT
19:45,,,Miles Jackson BS,,,,,,,,,,,,,
19:43,,Rasheed Sulaimon UMD,,,,,,,,,,,,,,
19:41,,,,,Rasheed Sulaimon UMD,,,,,,,,,,,
19:41,,,,,,,,,Jake Layman UMD,,,,,,,
19:40,,,,,,Justin Beck BS,,,,,,,,,,
19:20,,,,,,,Jake Layman UMD,,,,,,,,,
19:20,,,,,,,,,Robert Carter UMD,,,,,,,
19:16,,,,,,,Rasheed Sulaimon UMD,,,,,,,,,
19:16,,,,,,,,Miles Jackson BS,,,,,,,,
19:02,,,,,,,Andre Jackson BS,,,,,,,,,
19:02,,,,,,,,TEAM UMD,,,,,,,,
18:43,,,Robert Carter UMD,,,,,,,,,,,,,
18:29,,,,,,,,,,Justin Beck BS,,,,,,
18:29,,,,,,,,Melo Trimble UMD,,,,,,,,
18:22,,,Melo Trimble UMD,,,,,,,,,,,,,
18:16,,,,,,,Miles Jackson BS,,,,,,,,,
18:16,,,,,,,,Melo Trimble UMD,,,,,,,,
18:06,,,,,,Enuoma Ebinum BS,,,,,,,,,,
17:56,two-0,,,Diamond Stone UMD,,,,,,,,,,,,
17:33,,,,,,,,,,Dayshawn Wells BS,,,,,,
17:33,,,,,,,,Robert Carter UMD,,,,,,,,
17:25,four-0,,,Diamond Stone UMD,,,,,,,,,,,,
17:25,,,,,,,,,,,Jake Layman UMD,,,,,
17:10,,,,,Justin Beck BS,,,,,,,,,,,
17:10,,,,,,,,,Miles Jackson BS,,,,,,,
17:06,four-two,,,,,,,,,,,Miles Jackson BS,,,,
16:49,,,,,,Dayshawn Wells BS,,,,,,,,,,
16:39,six-two,,,Jake Layman UMD,,,,,,,,,,,,
16:39,,,,,,,,,,,Robert Carter UMD,,,,,
16:24,,,,,,,,,,Andre Jackson BS,,,,,,
16:24,,,,,,,,,Justin Beck BS,,,,,,,
16:15,,,,,,,,,,,,,Enuoma Ebinum BS,,,
16:15,,,,,,Melo Trimble UMD,,,,,,,,,,
16:15,,,,,,,,,DEADBALL,,,,,,,
16:15,six-three,,,,,,,,,,,,,Enuoma Ebinum BS,,
16:15,,,,,,,,,,,,,,,Jared Nickens UMD,
16:15,,,,,,,,,,,,,,,,Melo Trimble UMD
16:15,,,,,,,,,,,,,,,Michael Briscoe BS,
16:15,,,,,,,,,,,,,,,,Miles Jackson BS
15:50,,,,,,Enuoma Ebinum BS,,,,,,,,,,
